{90, 180, 90, 90, 90}
{89, 179, 87, 93, 88}
{87, 179, 83, 91, 86}
{87, 179, 79, 94, 83}
{90, 179, 78, 95, 79}
{87, 179, 79, 94, 74}
{86, 179, 83, 97, 72}
{79, 179, 81, 96, 72}
{72, 179, 81, 95, 74}
{68, 178, 81, 96, 71}
{65, 177, 84, 95, 70}
{63, 173, 86, 97, 70}
{61, 172, 89, 99, 72}
{59, 170, 92, 99, 75}
{55, 165, 93, 99, 75}
{53, 161, 96, 99, 76}
{52, 157, 98, 101, 76}
{52, 152, 95, 102, 77}
{52, 147, 93, 101, 79}
{54, 143, 93, 103, 78}
{57, 138, 93, 102, 79}
{60, 135, 95, 102, 77}
{59, 131, 94, 101, 75}
{59, 127, 96, 99, 77}
{57, 124, 94, 101, 75}
{59, 124, 96, 103, 72}
{59, 122, 100, 104, 70}
{57, 119, 102, 104, 67}
{55, 116, 105, 104, 66}
{52, 113, 107, 105, 67}
{52, 110, 109, 108, 69}
{51, 109, 112, 112, 68}
{50, 104, 114, 114, 67}
{48, 101, 113, 116, 68}
{49, 100, 114, 118, 73}
{48, 99, 113, 124, 74}
{47, 95, 115, 125, 72}
{47, 91, 113, 124, 69}
{46, 88, 112, 126, 71}
{45, 85, 114, 127, 68}
{44, 80, 113, 129, 68}
{43, 76, 116, 128, 67}
{44, 74, 121, 128, 65}
{43, 69, 121, 130, 67}
{40, 65, 122, 129, 68}
{39, 61, 123, 126, 67}
{37, 60, 127, 126, 64}
{36, 58, 129, 128, 61}
{37, 55, 131, 125, 61}
