{90, 180, 90, 90, 90}
{89, 176, 89, 92, 88}
{92, 176, 88, 94, 84}
{90, 175, 86, 96, 82}
{92, 175, 83, 99, 84}
{91, 175, 81, 103, 86}
{95, 175, 79, 107, 86}
{97, 175, 81, 110, 83}
{98, 174, 79, 114, 81}
{100, 174, 75, 117, 82}
{97, 174, 73, 118, 79}
{95, 174, 70, 120, 76}
{92, 174, 68, 121, 72}
{96, 174, 66, 122, 69}
{93, 174, 65, 124, 66}
{89, 174, 67, 125, 63}
{83, 174, 65, 125, 62}
{79, 174, 66, 127, 64}
{76, 174, 63, 129, 66}
{73, 174, 60, 131, 68}
{70, 174, 58, 133, 65}
{66, 174, 58, 131, 61}
{63, 174, 58, 127, 59}
{59, 174, 62, 128, 60}
{57, 174, 69, 128, 59}
{56, 174, 72, 125, 57}
{53, 174, 78, 124, 57}
{51, 172, 79, 121, 55}
{53, 170, 81, 120, 51}
{52, 167, 84, 121, 50}
{51, 161, 86, 122, 51}
{50, 156, 85, 119, 50}
{47, 153, 83, 120, 50}
{45, 151, 87, 121, 49}
{47, 147, 88, 120, 47}
{46, 143, 87, 117, 46}
{45, 140, 87, 119, 49}
{44, 136, 87, 116, 50}
{44, 131, 87, 117, 54}
{43, 128, 89, 117, 58}
{42, 123, 86, 115, 58}
{42, 118, 84, 116, 56}
{46, 115, 82, 115, 56}
{48, 111, 84, 116, 55}
{47, 109, 87, 115, 58}
{47, 107, 89, 114, 63}
{47, 103, 90, 112, 65}
{45, 100, 91, 112, 69}
{43, 98, 95, 112, 72}
{43, 93, 96, 115, 72}
{45, 91, 99, 117, 73}
{48, 87, 101, 118, 74}
{50, 86, 103, 115, 76}
{49, 84, 104, 112, 78}
{49, 83, 101, 113, 82}
{51, 83, 103, 112, 86}
{55, 81, 105, 111, 87}
{60, 82, 108, 111, 88}
{64, 83, 106, 108, 88}
{68, 84, 104, 105, 88}
{72, 85, 102, 102, 88}
{76, 86, 100, 100, 88}
{80, 85, 99, 103, 87}
{83, 86, 97, 100, 88}
{85, 88, 99, 99, 86}
{87, 89, 96, 96, 87}
{89, 90, 93, 93, 89}
{90, 90, 89, 89, 90}
